,orp,ph,fc
265,660,8.1,1.0
266,670,8.1,1.1
267,679,8.1,1.2
268,688,8.1,1.3
269,696,8.1,1.4
270,703,8.1,1.5
271,716,8.1,1.7
272,722,8.1,1.8
273,734,8.1,2.0
274,744,8.1,2.2
275,757,8.1,2.5
276,487,8.2,0.2
277,529,8.2,0.3
278,559,8.2,0.4
279,583,8.2,0.5
280,602,8.2,0.6
281,610,8.2,0.65
282,618,8.2,0.67
283,625,8.2,0.75
284,632,8.2,0.8
285,638,8.2,0.85
286,644,8.2,0.9
287,650,8.2,0.95
288,655,8.2,1.0
289,665,8.2,1.1
290,674,8.2,1.2
291,682,8.2,1.3
292,690,8.2,1.4
293,697,8.2,1.5
294,710,8.2,1.7
295,716,8.2,1.8
296,727,8.2,2.0
297,737,8.2,2.2
298,751,8.2,2.5
